id,location,text,target
1363246,,https://t.co/bhHKEQ6jox,1
1363247,,@ModeledBehavior General consensus here and abroad is that majority of transmission occurs within households. More than half of Swedish households consist of 1 person. https://t.co/yN5kfwGDgT,1
1363248,"Washington, DC",I had the honor of working with @califf001 at the FDA. He and other former FDA Commissioners are right: Public health requires public confidence. Public confidence requires the FDA to be independent and free of political pressure. https://t.co/aNBN4pALLi,1
1363249,"Washington, D.C.","Your mask questions, asked and answered. https://t.co/3HTa9fk1cO",1
1363250,,Plan to solve Florida's non-existent protest problem is pure 'mini-Trump' https://t.co/CKkMQqKZC8,0
1363251,North Wales,Rebel Tory MPs set to agree deal with whips over Covid restrictions https://t.co/WcsckguJYK,0
1363252,UK,RT @normanbowes33: More than 80 Tory MPs prepared to rebel over Coronavirus Act renewal https://t.co/nEVKmP0zow,0
1363253,"Cornwall, and France.",RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363254,New York,"RT @Craig_A_Spencer: @nptacek Agreed!

https://t.co/M2BFpPcwRz",1
1363255,"Fife, Scotland, UK, EU",https://t.co/uOgy70f4I1,0
1363256,Manchester/Berlin,"Geneva to introduce minimum wage of £3,500 a month. Meanwhile, in the UK, the so-called ‘mother of democracy’ and an apparent ‘advanced nation’ thinks it’s perfectly fine for human beings to live on the streets.  https://t.co/dpAQxOYl8b",0
1363257,,https://t.co/lrJiMGid4V,1
1363258,North Wales,"Geneva to introduce minimum wage of £3,500 a month https://t.co/fo3XBu0Y10",0
1363259,"Mytholmroyd, England",RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363260,USA; presently in MD/DC Metro,"Juggling Financial Stress And Caregiving, Parents Are 'Very Not OK' In The Pandemic l NPR https://t.co/P52qor29uL",1
1363261,Maryland,Serious question: Has there ever been a time previously when 7 former FDA commissioners co-wrote an op-ed on any issue? https://t.co/FWu5e6Abdy,1
1363262,,RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363263,"Eton Wick, South East",RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363264,London,Rebel Tory MPs set to agree deal with whips over Covid restrictions https://t.co/LzohVpFFFH,0
1363265,,https://t.co/izjrv4Xggk,0
1363266,,Rebel Tory MPs set to agree deal with wsiph over voCid restrictions https://t.co/1T4z27nisS,0
1363267,North Wales,Tory MPs pile pressure on ministers before talks on Coronavirus Act https://t.co/jofiHBuTcv,0
1363268,"JHU, Baltimore, MD",the reality of the markets is setting in even at Disney https://t.co/caMxgEF4Sp,1
1363269,UK/ Greece/ Hong Kong,RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1363270,The North of England,"As Merseyside faces new Covid rules, leaders warn: “We are already at breaking point. With new restrictions – and who knows for how long they might be needed – our economy and public services may collapse.” https://t.co/ruOucsxs6T",0
1363271,North Wales,Arthritis drug to be trialled as Covid treatment in UK care homes https://t.co/b1oPuRVgKb,0
1363272,USA,"Welcome development albeit a little late in the pandemic 

Covid-19 tests that give results in minutes to be rolled out across world | Coronavirus outbreak | The Guardian https://t.co/oQ1PmKR7q2",0
1363273,North Wales,'It doesn't make sense': frustration in north-east England at new Covid rules https://t.co/5iUHGXTB1s,0
1363274,North Wales,"Covid: UK spent £569m on 20,900 ventilators but most remain unused https://t.co/KDuLVnVxo6",0
1363275,"Helena, Montana, USA ","Opinion | 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA - The Washington Post this is why the US doesn’t have enough 15 minute low cost COVID tests #mtpol  https://t.co/RtRn28C3R8",1
1363276,Always behind you,RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363277,,RT @normanbowes33: More than 80 Tory MPs prepared to rebel over Coronavirus Act renewal https://t.co/nEVKmP0zow,0
1363278,"Budapest, Hungary","My piece on Russia’s coronavirus vaccine rush: 

 - some secrecy, some obfuscation, some corners cut, some people being pressured into trials, and plenty of geopolitics. 

 - but also a fairly decent chance, it seems, that it’s actually going to work... 

https://t.co/KOckF8Xko5",0
1363279,,"RT @dianeyentel: Evictions Damage Public Health, Which Is Why The CDC Has Banned Them ― For Now https://t.co/An5UVFBNtL",1
1363280,"New York, NY","SCOOP from @irenethesupreme – Ruby Tuesday abruptly stopped paying pensions for more than 100 retirees, leaving them scrambling during the pandemic https://t.co/gWOPJnPZfh https://t.co/9BGLhuvvbD",1
1363281,"Louisville, Ky","https://t.co/kAHfpn9iwl

Across the nation, judges, attorneys and courthouse staff are grappling with how to resume in-person operations of the justice system six months into a global health crisis.",1
1363282,United States,RT @dandrezner: It’s time for the September entry to my pandemic diary. https://t.co/c6nsS1zySq,1
1363283,San Lorenzo de El Escorial,La incompetencia de los políticos españoles puede ser tan mortal como la COVID-19 - The New York Times https://t.co/2dR7EhBtx5,1
1363284,,"@ModeledBehavior Aren't they starting to see a wave 2 already? I mean, hard to read the tea leaves exactly, but this article is from 4 days ago (and you can see a slight uptick in the reported data) https://t.co/6T5nENSw8S",1
1363285,"Glasgow, Scotland",RT @nooouch: Uiversal Incomes time has come.  https://t.co/vsUg3Pj10P,0
1363286,"iPhone: 37.370808,-121.944153",@GR_Orestis @HomeofBurgesses @SnorkytheOrca @NretiredR @itsJeffTiedrich @marcorubio https://t.co/gbez2cMfZT,1
1363287,,Care home coronavirus outbreaks cast doubt on official PHE data https://t.co/WMBprbAWdh,0
1363288,"Washington, D.C.",Trump plans mass events in Wisconsin where White House task force calls for social distancing. ⁦@michaelscherer⁩ ⁦@bylenasun⁩  https://t.co/CdAllTZH3u,1
1363289,United Kingdom,"@owenhants @KEdge23 It's from the Guardian
https://t.co/yDBLXhvosQ",0
1363290,,"@DrEricDing i lived in Germany if you know German you should be listening to this 
https://t.co/mbdEnP3sek",1
